NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"900,563,833",BRASERV PETROLEO LTDA SUCURSAL COLOMBIANA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.2,0.01,0.15,0.04,0.12,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"890,110,985",SATOR SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0510,MINERO,0.2,0.02,0.28,0.05,0.23,"2,024",Extracción de hulla (carbón de piedra)
"900,407,987",GUACAMAYA ENERGY SERVICES SAS,SUPERSOCIEDADES,Otros,HUILA,PALERMO-HUILA,0910,MINERO,0.2,0.01,0.17,0.1,0.07,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,000,750",PETROSANTANDER COLOMBIA GMBH,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.2,0.02,0.55,0.19,0.36,"2,024",Extracción de petróleo crudo
"900,450,226",ALKHORAYEF PETROLEUM COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.19,0.01,0.2,0.12,0.07,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,418,634",STANDARD GOLD DE COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0990,MINERO,0.18,0.08,0.3,0.12,0.17,"2,024",Actividades de apoyo a otras actividades de extracción
"900,451,010",NAVAR ASOCIADOS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0990,MINERO,0.17,0.06,0.33,0.16,0.16,"2,024",Actividades de apoyo a otras actividades de extracción
"900,619,863",STORK LATAM SL SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.16,0.01,0.11,0.05,0.06,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,306,204",MKMS ENERJI SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0620,MINERO,0.16,0.03,0.46,0.14,0.32,"2,024",Extracción de gas natural
"830,024,043",EMERALD ENERGY PLC SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.15,-0.09,0.87,0.27,0.6,"2,024",Extracción de petróleo crudo
"900,818,223",OCELOTE MINERALS SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0722,MINERO,0.15,0.03,0.36,0.54,-0.18,"2,024",Extracción de minerales de metales preciosos
"830,021,417",CARBONES COLOMBIANOS DEL CERREJON SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,0510,MINERO,0.14,-0.03,0.11,0.11,0.0,"2,024",Extracción de hulla (carbón de piedra)
"860,521,658",PERENCO OIL AND GAS COLOMBIA LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0610,MINERO,0.14,0.02,0.3,0.11,0.19,"2,024",Extracción de petróleo crudo
"900,436,743",COL PETROLEUM SERVICES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.14,0.03,0.1,0.03,0.07,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,156,354",NATIONAL OILWELL VARCO DE COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.14,-0.0,0.17,0.04,0.14,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,360,001",LUPATECH OFS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.14,0.01,0.15,0.08,0.07,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,311,842",ATINA ENERGY SERVICES CORP SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.14,0.0,0.12,0.09,0.02,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"800,180,808",SUMMUM ENERGY SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.14,-0.01,0.12,0.08,0.04,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
"900,208,503",VIAS Y EXPLANACIONES SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,0990,MINERO,0.13,0.01,0.12,0.06,0.06,"2,024",Actividades de apoyo a otras actividades de extracción
"900,330,917",SHANDONG KERUI PETROLEUM EQUIPMENT CO LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,0910,MINERO,0.13,0.01,0.1,0.04,0.05,"2,024",Actividades de apoyo para la extracción de petróleo y de gas natural
